Time each stage,Exp code,time (hr),Gravel transport (g),Sand transport (g),Gravel Feed (g),Sand Feed (g),gravel rate(g/ms),gravel feed g/ms,sand out rate(g/ms),sand feed g/ms,gravel storage (feed-transport),san storage (feed-transport),cum gravelstorage,cum sandstorage,gravelfeedcum ,sand feed cum,,Cum Gravel transport ,Cum sand transport,feedgravel/feedsand,ratio gravel/sand 
1,A1,1,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,19500.00,0.00,,0.00,,0.00,0.00,,
2,,2,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,39000.00,0.00,,0.00,,0.00,0.00,,
3,,3,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,58500.00,0.00,,0.00,,0.00,0.00,,
4,,4,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,78000.00,0.00,,0.00,,0.00,0.00,,
5,,5,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,97500.00,0.00,,0.00,,0.00,0.00,,
6,,6,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,117000.00,0.00,,0.00,,0.00,0.00,,
7,,7,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,136500.00,0.00,,0.00,,0.00,0.00,,
8,,8,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,156000.00,0.00,,0.00,,0.00,0.00,,
9,,9,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,175500.00,0.00,,0.00,,0.00,0.00,,
10,,10,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,195000.00,0.00,,0.00,,0.00,0.00,,
11,,11,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,214500.00,0.00,,0.00,,0.00,0.00,,
12,,12,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,234000.00,0.00,,0.00,,0.00,0.00,,
13,,13,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,253500.00,0.00,,0.00,,0.00,0.00,,
14,,14,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,273000.00,0.00,,0.00,,0.00,0.00,,
15,,15,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,292500.00,0.00,,0.00,,0.00,0.00,,
16,,16,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,312000.00,0.00,,0.00,,0.00,0.00,,
17,,17,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,331500.00,0.00,,0.00,,0.00,0.00,,
18,,18,0.00,0.00,19500.00,0.00,0,10.83,0,0.00,19500.00,0.00,351000.00,0.00,,0.00,,0.00,0.00,,
19,,19,9750.00,0.00,19500.00,0.00,5.416666667,10.83,0,0.00,9750.00,0.00,360750.00,0.00,0.50,0.00,,9750.00,0.00,,
20,,20,13500.00,0.00,19500.00,0.00,7.5,10.83,0,0.00,6000.00,0.00,366750.00,0.00,0.69,0.00,,23250.00,0.00,,
21,,21,22570.00,0.00,19500.00,0.00,12.53888889,10.83,0,0.00,-3070.00,0.00,363680.00,0.00,1.16,0.00,,45820.00,0.00,,
22,,22,38500.00,0.00,19500.00,0.00,21.38888889,10.83,0,0.00,-19000.00,0.00,344680.00,0.00,1.97,0.00,,84320.00,0.00,,
23,,23,21500.00,0.00,19500.00,0.00,11.94444444,10.83,0,0.00,-2000.00,0.00,342680.00,0.00,1.10,0.00,,105820.00,0.00,,
24,,24,16000.00,0.00,19500.00,0.00,8.888888889,10.83,0,0.00,3500.00,0.00,346180.00,0.00,0.82,0.00,,121820.00,0.00,,
25,,25,18000.00,0.00,19500.00,0.00,10,10.83,0,0.00,1500.00,0.00,347680.00,0.00,0.92,0.00,,139820.00,0.00,,
1,A2,25.25,2583.20,1.00,4631.25,243.75,5.740444444,10.29,0.002222222,0.54,2048.05,242.75,349728.05,242.75,0.56,1.00,,142403.20,1.00,0.05,2583.2
2,A2,25.5,1372.60,1.00,4631.25,243.75,3.050222222,10.29,0.002222222,0.54,3258.65,242.75,352986.70,485.50,0.30,2.00,,143775.80,2.00,0.05,1372.6
3,A2,25.75,3013.00,1.00,4631.25,243.75,6.695555556,10.29,0.002222222,0.54,1618.25,242.75,354604.95,728.25,0.65,3.00,,146788.80,3.00,0.05,3013
4,A2,26,6618.70,1.00,4631.25,243.75,14.70822222,10.29,0.002222222,0.54,-1987.45,242.75,352617.50,971.00,1.43,4.00,,153407.50,4.00,0.05,6618.7
5,A2,26.25,10971.00,1.00,4631.25,243.75,24.38,10.29,0.002222222,0.54,-6339.75,242.75,346277.75,1213.75,2.37,5.00,,164378.50,5.00,0.05,10971
6,A2,26.5,5372.10,1.00,4631.25,243.75,11.938,10.29,0.002222222,0.54,-740.85,242.75,345536.90,1456.50,1.16,,,169750.60,6.00,0.05,5372.1
7,A2,26.75,4277.00,1.00,4631.25,243.75,9.504444444,10.29,0.002222222,0.54,354.25,242.75,345891.15,1699.25,0.92,,,174027.60,7.00,0.05,4277
8,A2,27,2958.10,1.00,4631.25,243.75,6.573555556,10.29,0.002222222,0.54,1673.15,242.75,347564.30,1942.00,0.64,,,176985.70,8.00,0.05,2958.1
9,A2,27.25,4616.40,1.00,4631.25,243.75,10.25866667,10.29,0.002222222,0.54,14.85,242.75,347579.15,2184.75,1.00,,,181602.10,9.00,0.05,4616.4
