#,time(h),run,gravel  out,sand out,gravel feed,sand feed,gravel(g/s),gravel(g/ms),sand(g/s),sand(g/ms),gravelfeed (g/ms),sandfeed(g/ms)
1,1,B01-100,113759.00,0.00,155850.00,0.00,31.60,63.19944444,0.00,0,86.58,0.00
2,2,B01-200,142700.00,0.00,155850.00,0.00,39.64,79.27777778,0.00,0,86.58,0.00
3,3,,158200.00,0.00,155850.00,0.00,43.94,87.88888889,0.00,0,86.58,0.00
3,3.25,B01-0315,32000.00,0.00,38962.50,0.00,35.56,71.11111111,0.00,0,86.58,0.00
4,3.5,B01-0330,32700.00,0.00,38962.50,0.00,36.33,72.66666667,0.00,0,86.58,0.00
5,3.75,B01-0345,39500.00,0.00,38962.50,0.00,43.89,87.77777778,0.00,0,86.58,0.00
6,4,B01-0400,41000.00,0.00,38962.50,0.00,45.56,91.11111111,0.00,0,86.58,0.00
7,4.25,B01-0415,35900.00,0.00,38962.50,0.00,39.89,79.77777778,0.00,0,86.58,0.00
8,4.5,B01-0430,37700.00,0.00,38962.50,0.00,41.89,83.77777778,0.00,0,86.58,0.00
9,4.75,B01-0445,48400.00,0.00,38962.50,0.00,53.78,107.5555556,0.00,0,86.58,0.00
10,5,B01-0500,36000.00,0.00,38962.50,0.00,40.00,80,0.00,0,86.58,0.00
11,5.25,B01-0515,59000.00,0.00,38962.50,0.00,65.56,131.1111111,0.00,0,86.58,0.00
12,5.5,B01-0530,28500.00,0.00,38962.50,0.00,31.67,63.33333333,0.00,0,86.58,0.00
13,5.75,B01-0545,38500.00,0.00,38962.50,0.00,42.78,85.55555556,0.00,0,86.58,0.00
14,6,B01-0600,33900.00,0.00,38962.50,0.00,37.67,75.33333333,0.00,0,86.58,0.00
15,6.25,B02-0015,36200.00,0.00,37014.38,1948.13,40.22,80.44444444,0.00,0,82.25,4.33
16,6.5,B02-0030,39000.00,0.00,37014.38,1948.13,43.33,86.66666667,0.00,0,82.25,4.33
17,6.75,B02-0045,35100.00,0.00,37014.38,1948.13,39.00,78,0.00,0,82.25,4.33
18,7,B02-0100,40100.00,0.00,37014.38,1948.13,44.56,89.11111111,0.00,0,82.25,4.33
19,7.25,B02-0115,35700.00,0.00,37014.38,1948.13,39.67,79.33333333,0.00,0,82.25,4.33
20,7.5,B02-0130,32000.00,0.00,37014.38,1948.13,35.56,71.11111111,0.00,0,82.25,4.33
21,7.75,B02-0145,34300.00,0.00,37014.38,1948.13,38.11,76.22222222,0.00,0,82.25,4.33
22,8,B02-0200,33000.00,0.00,37014.38,1948.13,36.67,73.33333333,0.00,0,82.25,4.33
23,8.25,B02-0215,36000.00,0.00,37014.38,1948.13,40.00,80,0.00,0,82.25,4.33
24,8.5,B02-0230,40900.00,0.00,37014.38,1948.13,45.44,90.88888889,0.00,0,82.25,4.33
25,8.75,B02-0245,32200.00,0.00,37014.38,1948.13,35.78,71.55555556,0.00,0,82.25,4.33
26,9,B02-0300,44600.00,0.00,37014.38,1948.13,49.56,99.11111111,0.00,0,82.25,4.33
27,9.25,B02-0315,36000.00,0.00,37014.38,1948.13,40.00,80,0.00,0,82.25,4.33
28,9.5,B02-0330,40500.00,0.00,37014.38,1948.13,45.00,90,0.00,0,82.25,4.33
29,9.75,B02-0345,35100.00,0.00,37014.38,1948.13,39.00,78,0.00,0,82.25,4.33
30,10,B02-0400,48800.00,0.00,37014.38,1948.13,54.22,108.4444444,0.00,0,82.25,4.33
31,10.25,B02-0415,34100.00,0.00,37014.38,1948.13,37.89,75.77777778,0.00,0,82.25,4.33
32,10.5,B02-0430,33000.00,0.00,37014.38,1948.13,36.67,73.33333333,0.00,0,82.25,4.33
33,10.75,B02-0445,22500.00,0.00,37014.38,1948.13,25.00,50,0.00,0,82.25,4.33
34,11,B02-0500,49600.00,0.00,37014.38,1948.13,55.11,110.2222222,0.00,0,82.25,4.33
35,11.25,B02-0515,38500.00,0.00,37014.38,1948.13,42.78,85.55555556,0.00,0,82.25,4.33
36,11.5,B02-0530,48900.00,0.00,37014.38,1948.13,54.33,108.6666667,0.00,0,82.25,4.33
37,11.75,B02-0545,24900.00,0.50,37014.38,1948.13,27.67,55.33333333,0.00,0.001111111,82.25,4.33
