#,time(h),gravel  out,sand out,gravel(g/ms),sand(g/ms),gravel Xi-<X>,sumG,sandXi-<X>,sum I,total tran ,sandXi-<X>,Sum L
1,1,113759,0,63.19944444,0,0.330820513,0.330820513,,,63.19944444,-25.79966728,-25.79966728
2,2,142700,0,79.27777778,0,16.40915385,16.73997436,,,79.27777778,-9.721333944,-35.52100122
3,3,158200,0,87.88888889,0,25.02026496,41.76023932,,,87.88888889,-1.110222833,-36.63122405
3,3.25,32000,0,71.11111111,0,8.242487179,50.0027265,,,71.11111111,-17.88800061,-54.51922466
4,3.5,32700,0,72.66666667,0,9.798042735,59.80076923,,,72.66666667,-16.33244505,-70.85166972
5,3.75,39500,0,87.77777778,0,24.90915385,84.70992308,,,87.77777778,-1.221333944,-72.07300366
6,4,41000,0,91.11111111,0,28.24248718,112.9524103,,,91.11111111,2.11199939,-69.96100427
7,4.25,35900,0,79.77777778,0,16.90915385,129.8615641,,,79.77777778,-9.221333944,-79.18233822
8,4.5,37700,0,83.77777778,0,20.90915385,150.7707179,,,83.77777778,-5.221333944,-84.40367216
9,4.75,48400,0,107.5555556,0,44.68693162,195.4576496,,,107.5555556,18.55644383,-65.84722833
10,5,36000,0,80,0,17.13137607,212.5890256,,,80,-8.999111722,-74.84634005
11,5.25,59000,0,131.1111111,0,68.24248718,280.8315128,,,131.1111111,42.11199939,-32.73434066
12,5.5,28500,0,63.33333333,0,0.464709402,281.2962222,,,63.33333333,-25.66577839,-58.40011905
13,5.75,38500,0,85.55555556,0,22.68693162,303.9831538,,,85.55555556,-3.443556166,-61.84367521
14,6,33900,0,75.33333333,0,12.4647094,316.4478632,,,75.33333333,-13.66577839,-75.5094536
15,6.25,36200,0,80.44444444,0,17.57582051,334.0236838,,,80.44444444,-8.554667277,-84.06412088
16,6.5,39000,0,86.66666667,0,23.79804274,357.8217265,,,86.66666667,-2.332445055,-86.39656593
17,6.75,35100,0,78,0,15.13137607,372.9531026,,,78,-10.99911172,-97.39567765
18,7,40100,0,89.11111111,0,26.24248718,399.1955897,,,89.11111111,0.11199939,-97.28367827
19,7.25,35700,0,79.33333333,0,16.4647094,415.6602991,,,79.33333333,-9.665778388,-106.9494567
20,7.5,32000,0,71.11111111,0,8.242487179,423.9027863,,,71.11111111,-17.88800061,-124.8374573
21,7.75,34300,0,76.22222222,0,13.35359829,437.2563846,,,76.22222222,-12.7768895,-137.6143468
22,8,33000,0,73.33333333,0,10.4647094,447.721094,,,73.33333333,-15.66577839,-153.2801252
23,8.25,36000,0,80,0,17.13137607,464.8524701,,,80,-8.999111722,-162.2792369
24,8.5,40900,0,90.88888889,0,28.02026496,492.872735,,,90.88888889,1.889777167,-160.3894597
25,8.75,32200,0,71.55555556,0,8.686931624,501.5596667,,,71.55555556,-17.44355617,-177.8330159
26,9,44600,0,99.11111111,0,36.24248718,537.8021538,,,99.11111111,10.11199939,-167.7210165
27,9.25,36000,0,80,0,17.13137607,554.9335299,,,80,-8.999111722,-176.7201282
28,9.5,40500,0,90,0,27.13137607,582.064906,,,90,1.000888278,-175.7192399
29,9.75,35100,0,78,0,15.13137607,597.1962821,,,78,-10.99911172,-186.7183516
30,10,48800,0,108.4444444,0,45.57582051,642.7721026,,,108.4444444,19.44533272,-167.2730189
31,10.25,34100,0,75.77777778,0,12.90915385,655.6812564,,,75.77777778,-13.22133394,-180.4943529
32,10.5,33000,0,73.33333333,0,10.4647094,666.1459658,,,73.33333333,-15.66577839,-196.1601313
33,10.75,22500,0,50,0,-12.86862393,653.2773419,,,50,-38.99911172,-235.159243
