Run,Time (hr),% sand,End of Run,Gravel (g) out,Sand (g) out,Total Feed (g),Sand Feed (g),Gravel Feed (g),gravel(g/s),gravel(g/ms),sand(g/s),sand(g/ms),gravelfeed (g/ms),sandfeed(g/ms)
C011,1.00,0.00,,0.00,0.00,19500.00,0.00,19500.00,0.00,0,0.00,0,10.8333,0.00
C012,2.00,0.00,,0.00,0.00,19500.00,0.00,19500.00,0.00,0,0.00,0,10.8333,0.00
C013,3.00,0.00,,0.00,0.00,19500.00,0.00,19500.00,0.00,0,0.00,0,10.8333,0.00
C014,4.00,0.00,,0.00,0.00,19500.00,0.00,19500.00,0.00,0,0.00,0,10.8333,0.00
C015,5.00,0.00,,0.00,0.00,19500.00,0.00,19500.00,0.00,0,0.00,0,10.8333,0.00
C016,6.00,0.00,,0.00,0.00,19500.00,0.00,19500.00,0.00,0,0.00,0,10.8333,0.00
C017,7.00,0.00,,0.00,0.00,19500.00,0.00,19500.00,0.00,0,0.00,0,10.8333,0.00
C018,8.00,0.00,,0.00,0.00,19500.00,0.00,19500.00,0.00,0,0.00,0,10.8333,0.00
C)19,9.00,0.00,,0.00,0.00,19500.00,0.00,19500.00,0.00,0,0.00,0,10.8333,0.00
C01-1000,10.00,0.00,,350.00,0.00,19500.00,0.00,19500.00,0.10,0.194444444,0.00,0,10.8333,0.00
C01-1100,11.00,0.00,,2150.00,0.00,19500.00,0.00,19500.00,0.60,1.194444444,0.00,0,10.8333,0.00
C01-1200,12.00,0.00,,5612.00,0.00,19500.00,0.00,19500.00,1.56,3.117777778,0.00,0,10.8333,0.00
C01-1300,13.00,0.00,,11941.00,0.00,19500.00,0.00,19500.00,3.32,6.633888889,0.00,0,10.8333,0.00
C01-1400,14.00,0.00,,19656.00,0.00,19500.00,0.00,19500.00,5.46,10.92,0.00,0,10.8333,0.00
C01-1500,15.00,0.00,,36484.00,0.00,19500.00,0.00,19500.00,10.13,20.26888889,0.00,0,10.8333,0.00
