Run,Time,Gravel Out (g),Sand Out (g),Feed total,gravel(g/s),gravel(g/ms),sand(g/s),sand(g/ms),feed (g/ms)
E01-0315,0.25,0.00,0.00,14625.00,0.00,0,0.00,0,32.50
E01-0330,0.50,0.00,0.00,14625.00,0.00,0,0.00,0,32.50
E01-0345,0.75,0.00,0.00,14625.00,0.00,0,0.00,0,32.50
E01-0400,1.00,416.00,0.00,14625.00,0.46,0.924444444,0.00,0,32.50
E01-0415,1.25,1060.00,0.00,14625.00,1.18,2.355555556,0.00,0,32.50
E01-0430,1.50,5766.00,0.00,14625.00,6.41,12.81333333,0.00,0,32.50
E01-0445,1.75,13360.00,0.00,14625.00,14.84,29.68888889,0.00,0,32.50
E01-0500,2.00,18429.00,0.00,14625.00,20.48,40.95333333,0.00,0,32.50
E01-0515,2.25,20150.00,0.00,14625.00,22.39,44.77777778,0.00,0,32.50
E01-0530,2.50,17139.00,0.00,14625.00,19.04,38.08666667,0.00,0,32.50
E01-0545,2.75,21270.00,0.00,14625.00,23.63,47.26666667,0.00,0,32.50
E01-0600,3.00,18757.00,0.00,14625.00,20.84,41.68222222,0.00,0,32.50
E02-0015,3.25,26447.00,1482.00,14625.00,29.39,58.77111111,1.65,3.293333333,32.50
E02-0030,3.50,46462.00,15011.00,14625.00,51.62,103.2488889,16.68,33.35777778,32.50
E02-0045,3.75,31712.00,15009.00,14625.00,35.24,70.47111111,16.68,33.35333333,32.50
E02-0100,4.00,25712.00,14512.00,14625.00,28.57,57.13777778,16.12,32.24888889,32.50
E02-0115,4.25,18212.00,13359.00,14625.00,20.24,40.47111111,14.84,29.68666667,32.50
E02-0130,4.50,18212.00,16861.00,14625.00,20.24,40.47111111,18.73,37.46888889,32.50
E02-0145,4.75,15212.00,15797.00,14625.00,16.90,33.80444444,17.55,35.10444444,32.50
E02-0200,5.00,11212.00,12951.00,14625.00,12.46,24.91555556,14.39,28.78,32.50
E02-0215,5.25,6712.00,15825.00,14625.00,7.46,14.91555556,17.58,35.16666667,32.50
E02-0230,5.50,7412.00,16879.00,14625.00,8.24,16.47111111,18.75,37.50888889,32.50
E02-0245,5.75,5712.00,18474.00,14625.00,6.35,12.69333333,20.53,41.05333333,32.50
E02-0300,6.00,4712.00,10669.00,14625.00,5.24,10.47111111,11.85,23.70888889,32.50
E02-0315,6.25,3462.00,9294.00,14625.00,3.85,7.693333333,10.33,20.65333333,32.50
E02-0330,6.50,4712.00,17100.00,14625.00,5.24,10.47111111,19.00,38,32.50
E02-0345,6.75,4212.00,16109.00,14625.00,4.68,9.36,17.90,35.79777778,32.50
E02-0400,7.00,1614.00,15413.00,14625.00,1.79,3.586666667,17.13,34.25111111,32.50
