Run,Time,Gravel Out (g),Sand Out (g),Feed total,gravel(g/s),gravel(g/ms),sand(g/s),sand(g/ms),feed (g/ms)
F01-0415,0.25,1703,0,14625,1.89,3.784444444,0.00,0,32.50
F01-0430,0.5,4381,0,14625,4.87,9.735555556,0.00,0,32.50
F01-0445,0.75,14012,0,14625,15.57,31.13777778,0.00,0,32.50
F01-0500,1,16960,0,14625,18.84,37.68888889,0.00,0,32.50
F01-0515,1.25,28500,0,14625,31.67,63.33333333,0.00,0,32.50
F01-0530,1.5,13900,0,14625,15.44,30.88888889,0.00,0,32.50
F01-0545,1.75,9900,0,14625,11.00,22,0.00,0,32.50
F01-0600,2,12500,0,14625,13.89,27.77777778,0.00,0,32.50
F02-0015,2.25,26500,1153,14625,29.44,58.88888889,1.28,2.562222222,32.50
F02-0030,2.5,52900,16598,14625,58.78,117.5555556,18.44,36.88444444,32.50
F02-0045,2.75,40600,19640,14625,45.11,90.22222222,21.82,43.64444444,32.50
F02-0100,3,27200,15035,14625,30.22,60.44444444,16.71,33.41111111,32.50
F02-0115,3.25,23250,15733,14625,25.83,51.66666667,17.48,34.96222222,32.50
F02-0130,3.5,20500,17990,14625,22.78,45.55555556,19.99,39.97777778,32.50
F02-0145,3.75,13000,14742,14625,14.44,28.88888889,16.38,32.76,32.50
F02-0200,4,11250,15344,14625,12.50,25,17.05,34.09777778,32.50
F02-0215,4.25,6466,11964,14625,7.18,14.36888889,13.29,26.58666667,32.50
F02-0230,4.5,6018,16076,14625,6.69,13.37333333,17.86,35.72444444,32.50
F02-0245,4.75,3727,14775,14625,4.14,8.282222222,16.42,32.83333333,32.50
F02-0300,5,3008,14738,14625,3.34,6.684444444,16.38,32.75111111,32.50
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
