Run,Time,time,Gravel Out (g),Sand Out (g),Feed total,gravel(g/s),gravel(g/ms),sand(g/s),sand(g/ms),gravelfeed (g/ms),sandfeed(g/ms)
G01-0100,1.00,1.00,0.00,0.00,39000.00,0.00,0,0.00,0,21.67,
G01-0200,2.00,2.00,0.00,0.00,39000.00,0.00,0,0.00,0,21.67,
G01-0300,3.00,3.00,0.00,0.00,39000.00,0.00,0,0.00,0,21.67,
G01-0400,4.00,4.00,432.00,0.00,39000.00,0.12,0.24,0.00,0,21.67,
G01-0500,5.00,5.00,2742.00,0.00,39000.00,0.76,1.523333333,0.00,0,21.67,
G01-0600,6.00,6.00,6723.00,0.00,39000.00,1.87,3.735,0.00,0,21.67,
G01-0700,7.00,7.00,28500.00,0.00,39000.00,7.92,15.83333333,0.00,0,21.67,
G01-0800,8.00,8.00,57500.00,0.00,39000.00,15.97,31.94444444,0.00,0,21.67,
G01-0815,8.25,8.25,1900.00,0.00,9750.00,2.11,4.222222222,0.00,0,21.67,
G01-0830,8.50,8.50,15250.00,0.00,9750.00,16.94,33.88888889,0.00,0,21.67,
G01-0845,8.75,8.75,9250.00,0.00,9750.00,10.28,20.55555556,0.00,0,21.67,
G01-0900,9.00,9.00,8250.00,0.00,9750.00,9.17,18.33333333,0.00,0,21.67,
G02-0015,9.50,9.25,14000.00,224.00,9750.00,15.56,31.11111111,0.25,0.497777778,,21.67
G02-0030,9.86,9.50,39750.00,9624.00,9750.00,44.17,88.33333333,10.69,21.38666667,,21.67
G02-0045,10.21,9.75,28000.00,10259.00,9750.00,31.11,62.22222222,11.40,22.79777778,,21.67
G02-0100,10.57,10.00,20250.00,9710.00,9750.00,22.50,45,10.79,21.57777778,,21.67
G02-0115,10.93,10.25,12000.00,7576.00,9750.00,13.33,26.66666667,8.42,16.83555556,,21.67
G02-0130,11.29,10.50,13500.00,10627.00,9750.00,15.00,30,11.81,23.61555556,,21.67
G02-0145,11.64,10.75,13000.00,11314.00,9750.00,14.44,28.88888889,12.57,25.14222222,,21.67
G02-0200,12.00,11.00,11000.00,11391.00,9750.00,12.22,24.44444444,12.66,25.31333333,,21.67
G02-0215,12.36,11.25,9000.00,9315.00,9750.00,10.00,20,10.35,20.7,,21.67
G02-0230,12.71,11.50,10000.00,10773.00,9750.00,11.11,22.22222222,11.97,23.94,,21.67
G02-0245,13.07,11.75,6500.00,10392.00,9750.00,7.22,14.44444444,11.55,23.09333333,,21.67
G02-0300,13.43,12.00,4000.00,10833.00,9750.00,4.44,8.888888889,12.04,24.07333333,,21.67
