Run,Time,Gravel Out (g),Sand Out (g),Feed total,gravel(g/s),gravel(g/ms),sand(g/s),sand(g/ms),gravelfeed (g/ms),sandfeed(g/ms)
H01-0100,1.00,0.00,0.00,58500.00,0.00,0,0.00,0,32.50,
H01-0200,2.00,0.00,0.00,58500.00,0.00,0,0.00,0,32.50,
H01-0300,3.00,0.00,0.00,58500.00,0.00,0,0.00,0,32.50,
H01-0400,4.00,0.00,0.00,19500.00,0.00,0,0.00,0,10.83,
H01-0500,5.00,3088.00,0.00,19500.00,0.86,1.715555556,0.00,0,10.83,
H01-0600,6.00,14000.00,0.00,19500.00,3.89,7.777777778,0.00,0,10.83,
H01-0700,7.00,26800.00,0.00,19500.00,7.44,14.88888889,0.00,0,10.83,
H01-0800,8.00,17250.00,0.00,19500.00,4.79,9.583333333,0.00,0,10.83,
H01-0900,9.00,21000.00,0.00,19500.00,5.83,11.66666667,0.00,0,10.83,
H02-0015,9.25,5500.00,0.00,4875.00,6.11,12.22222222,0.00,0,,10.83
H02-0030,9.50,21500.00,2536.00,4875.00,23.89,47.77777778,2.82,5.635555556,,10.83
H02-0045,9.75,20500.00,4955.00,4875.00,22.78,45.55555556,5.51,11.01111111,,10.83
H02-0100,10.00,14000.00,3127.00,4875.00,15.56,31.11111111,3.47,6.948888889,,10.83
H02-0115,10.25,7800.00,2613.00,4875.00,8.67,17.33333333,2.90,5.806666667,,10.83
H02-0130,10.50,10800.00,4827.00,4875.00,12.00,24,5.36,10.72666667,,10.83
H02-0145,10.75,13000.00,6912.00,4875.00,14.44,28.88888889,7.68,15.36,,10.83
H02-0200,11.00,8500.00,4564.00,4875.00,9.44,18.88888889,5.07,10.14222222,,10.83
H02-0215,11.25,5250.00,3157.00,4875.00,5.83,11.66666667,3.51,7.015555556,,10.83
H02-0230,11.50,9000.00,6121.00,4875.00,10.00,20,6.80,13.60222222,,10.83
H02-0245,11.75,7800.00,6538.00,4875.00,8.67,17.33333333,7.26,14.52888889,,10.83
H02-0300,12.00,2800.00,2359.00,4875.00,3.11,6.222222222,2.62,5.242222222,,10.83
H02-0315,12.25,5750.00,5099.00,4875.00,6.39,12.77777778,5.67,11.33111111,,10.83
H02-0330,12.50,5000.00,5480.00,4875.00,5.56,11.11111111,6.09,12.17777778,,10.83
H02-0345,12.75,4500.00,4282.00,4875.00,5.00,10,4.76,9.515555556,,10.83
H02-0400,13.00,5000.00,5227.00,4875.00,5.56,11.11111111,5.81,11.61555556,,10.83
H02-0415,13.25,5500.00,5480.00,4875.00,6.11,12.22222222,6.09,12.17777778,,10.83
H02-0430,13.50,3000.00,4045.00,4875.00,3.33,6.666666667,4.49,8.988888889,,10.83
H02-0445,13.75,2000.00,4374.00,4875.00,2.22,4.444444444,4.86,9.72,,10.83
H02-0500,14.00,3500.00,6131.00,4875.00,3.89,7.777777778,6.81,13.62444444,,10.83
