Run,cum Time,time,Gravel Out (g),Sand Out (g),Feed total,Gravel Feed (g),Sand Feed (g),gravel(g/s),gravel(g/ms),sand(g/s),sand(g/ms),gravelfeed (g/ms),sandfeed(g/ms)
I02-3815,42.25,0.25,2049.00,0.00,1950.00,1950.00,0.00,2.28,4.553333333,0.00,0,4.33,0.00
I02-3830,42.50,0.50,1617.00,0.00,1950.00,1950.00,0.00,1.80,3.593333333,0.00,0,4.33,0.00
I02-3845,42.75,0.75,1658.00,0.00,1950.00,1950.00,0.00,1.84,3.684444444,0.00,0,4.33,0.00
I02-3900,43.00,1.00,1856.00,0.00,1950.00,1950.00,0.00,2.06,4.124444444,0.00,0,4.33,0.00
I02-3915,43.25,1.25,1851.00,0.00,1950.00,1950.00,0.00,2.06,4.113333333,0.00,0,4.33,0.00
I02-3930,43.50,1.50,2076.00,0.00,1950.00,1950.00,0.00,2.31,4.613333333,0.00,0,4.33,0.00
I02-3945,43.75,1.75,3271.00,0.00,1950.00,1950.00,0.00,3.63,7.268888889,0.00,0,4.33,0.00
I02-4000,44.00,2.00,3178.00,0.00,1950.00,1950.00,0.00,3.53,7.062222222,0.00,0,4.33,0.00
I03-0015,44.25,2.25,4067.00,0.00,2193.75,1950.00,243.75,4.52,9.037777778,0.00,0,4.33,0.54
I03-0030,44.50,2.50,4889.00,0.00,2193.75,1950.00,243.75,5.43,10.86444444,0.00,0,4.33,0.54
I03-0045,44.75,2.75,5010.00,0.00,2193.75,1950.00,243.75,5.57,11.13333333,0.00,0,4.33,0.54
I03-0100,45.00,3.00,5294.00,0.00,2193.75,1950.00,243.75,5.88,11.76444444,0.00,0,4.33,0.54
I03-0115,45.25,3.25,4882.00,0.00,2193.75,1950.00,243.75,5.42,10.84888889,0.00,0,4.33,0.54
I03-0130,45.50,3.50,4016.00,0.00,2193.75,1950.00,243.75,4.46,8.924444444,0.00,0,4.33,0.54
I03-0145,45.75,3.75,5011.00,0.00,2193.75,1950.00,243.75,5.57,11.13555556,0.00,0,4.33,0.54
I03-0200,46.00,4.00,4932.00,0.00,2193.75,1950.00,243.75,5.48,10.96,0.00,0,4.33,0.54
I03-0215,46.25,4.25,4155.00,0.00,2193.75,1950.00,243.75,4.62,9.233333333,0.00,0,4.33,0.54
I03-0230,46.50,4.50,3517.00,0.00,2193.75,1950.00,243.75,3.91,7.815555556,0.00,0,4.33,0.54
I03-0245,46.75,4.75,3425.00,0.00,2193.75,1950.00,243.75,3.81,7.611111111,0.00,0,4.33,0.54
I03-0300,47.00,5.00,3096.00,0.00,2193.75,1950.00,243.75,3.44,6.88,0.00,0,4.33,0.54
I03-0315,47.25,5.25,3503.00,5.00,2193.75,1950.00,243.75,3.89,7.784444444,0.01,0.011111111,4.33,0.54
I03-0330,47.50,5.50,4088.00,4.00,2193.75,1950.00,243.75,4.54,9.084444444,0.00,0.008888889,4.33,0.54
I03-0345,47.75,5.75,3336.00,5.00,2193.75,1950.00,243.75,3.71,7.413333333,0.01,0.011111111,4.33,0.54
I03-0400,48.00,6.00,2907.00,5.00,2193.75,1950.00,243.75,3.23,6.46,0.01,0.011111111,4.33,0.54
I03-0415,48.25,6.25,3277.00,4.00,2193.75,1950.00,243.75,3.64,7.282222222,0.00,0.008888889,4.33,0.54
I03-0430,48.50,6.50,3734.00,4.00,2193.75,1950.00,243.75,4.15,8.297777778,0.00,0.008888889,4.33,0.54
I03-0445,48.75,6.75,3587.00,5.00,2193.75,1950.00,243.75,3.99,7.971111111,0.01,0.011111111,4.33,0.54
I03-0500,49.00,7.00,2955.00,5.00,2193.75,1950.00,243.75,3.28,6.566666667,0.01,0.011111111,4.33,0.54
I03-0515,49.25,7.25,4308.00,10.00,2193.75,1950.00,243.75,4.79,9.573333333,0.01,0.022222222,4.33,0.54
I03-0530,49.50,7.50,6854.00,19.00,2193.75,1950.00,243.75,7.62,15.23111111,0.02,0.042222222,4.33,0.54
I03-0545,49.75,7.75,5974.00,27.00,2193.75,1950.00,243.75,6.64,13.27555556,0.03,0.06,4.33,0.54
I03-0600,50.00,8.00,1888.00,25.00,2193.75,1950.00,243.75,2.10,4.195555556,0.03,0.055555556,4.33,0.54
I03-0615,50.25,8.25,974.00,27.00,2193.75,1950.00,243.75,1.08,2.164444444,0.03,0.06,4.33,0.54
I03-0630,50.50,8.50,975.00,20.00,2193.75,1950.00,243.75,1.08,2.166666667,0.02,0.044444444,4.33,0.54
I03-0645,50.75,8.75,2237.00,25.00,2193.75,1950.00,243.75,2.49,4.971111111,0.03,0.055555556,4.33,0.54
I03-0700,51.00,9.00,1982.00,25.00,2193.75,1950.00,243.75,2.20,4.404444444,0.03,0.055555556,4.33,0.54
I03-0715,51.25,9.25,1079.00,10.00,2193.75,1950.00,243.75,1.20,2.397777778,0.01,0.022222222,4.33,0.54
I03-0730,51.50,9.50,1424.00,17.00,2193.75,1950.00,243.75,1.58,3.164444444,0.02,0.037777778,4.33,0.54
I03-0745,51.75,9.75,2361.00,22.00,2193.75,1950.00,243.75,2.62,5.246666667,0.02,0.048888889,4.33,0.54
I03-0800,52.00,10.00,2864.00,20.00,2193.75,1950.00,243.75,3.18,6.364444444,0.02,0.044444444,4.33,0.54
I03-0815,52.25,10.25,1249.00,26.00,2193.75,1950.00,243.75,1.39,2.775555556,0.03,0.057777778,4.33,0.54
I03-0830,52.50,10.50,972.00,21.00,2193.75,1950.00,243.75,1.08,2.16,0.02,0.046666667,4.33,0.54
I03-0845,52.75,10.75,974.00,19.00,2193.75,1950.00,243.75,1.08,2.164444444,0.02,0.042222222,4.33,0.54
I03-0900,53.00,11.00,1123.00,18.00,2193.75,1950.00,243.75,1.25,2.495555556,0.02,0.04,4.33,0.54
I03-0915,53.25,11.25,1077.00,19.00,2193.75,1950.00,243.75,1.20,2.393333333,0.02,0.042222222,4.33,0.54
I03-0930,53.50,11.50,776.00,19.00,2193.75,1950.00,243.75,0.86,1.724444444,0.02,0.042222222,4.33,0.54
I03-0945,53.75,11.75,734.00,20.00,2193.75,1950.00,243.75,0.82,1.631111111,0.02,0.044444444,4.33,0.54
I03-1000,54.00,12.00,575.00,16.00,2193.75,1950.00,243.75,0.64,1.277777778,0.02,0.035555556,4.33,0.54
I03-1015,54.25,12.25,520.00,24.00,2193.75,1950.00,243.75,0.58,1.155555556,0.03,0.053333333,4.33,0.54
I03-1030,54.50,12.50,711.00,27.00,2193.75,1950.00,243.75,0.79,1.58,0.03,0.06,4.33,0.54
I03-1045,54.75,12.75,862.00,24.00,2193.75,1950.00,243.75,0.96,1.915555556,0.03,0.053333333,4.33,0.54
I03-1100,55.00,13.00,1174.00,20.00,2193.75,1950.00,243.75,1.30,2.608888889,0.02,0.044444444,4.33,0.54
I03-1115,55.25,13.25,1643.00,18.00,2193.75,1950.00,243.75,1.83,3.651111111,0.02,0.04,4.33,0.54
I03-1130,55.50,13.50,1605.00,18.00,2193.75,1950.00,243.75,1.78,3.566666667,0.02,0.04,4.33,0.54
I03-1145,55.75,13.75,2015.00,17.00,2193.75,1950.00,243.75,2.24,4.477777778,0.02,0.037777778,4.33,0.54
I03-1200,56.00,14.00,1898.00,21.00,2193.75,1950.00,243.75,2.11,4.217777778,0.02,0.046666667,4.33,0.54
I03-1215,56.25,14.25,1047.00,22.00,2193.75,1950.00,243.75,1.16,2.326666667,0.02,0.048888889,4.33,0.54
I03-1230,56.50,14.50,1847.00,19.00,2193.75,1950.00,243.75,2.05,4.104444444,0.02,0.042222222,4.33,0.54
I03-1245,56.75,14.75,1671.00,21.00,2193.75,1950.00,243.75,1.86,3.713333333,0.02,0.046666667,4.33,0.54
I03-1300,57.00,15.00,1547.00,19.00,2193.75,1950.00,243.75,1.72,3.437777778,0.02,0.042222222,4.33,0.54
I03-1315,57.25,15.25,1606.00,17.00,2193.75,1950.00,243.75,1.78,3.568888889,0.02,0.037777778,4.33,0.54
I03-1330,57.50,15.50,1003.00,10.00,2193.75,1950.00,243.75,1.11,2.228888889,0.01,0.022222222,4.33,0.54
I03-1345,57.75,15.75,499.00,15.00,2193.75,1950.00,243.75,0.55,1.108888889,0.02,0.033333333,4.33,0.54
I03-1400,58.00,16.00,441.00,10.00,2193.75,1950.00,243.75,0.49,0.98,0.01,0.022222222,4.33,0.54
I03-1415,58.25,16.25,2352.00,13.00,2193.75,1950.00,243.75,2.61,5.226666667,0.01,0.028888889,4.33,0.54
I03-1430,58.50,16.50,4873.00,16.00,2193.75,1950.00,243.75,5.41,10.82888889,0.02,0.035555556,4.33,0.54
I03-1445,58.75,16.75,4137.00,20.00,2193.75,1950.00,243.75,4.60,9.193333333,0.02,0.044444444,4.33,0.54
I03-1500,59.00,17.00,834.00,28.00,2193.75,1950.00,243.75,0.93,1.853333333,0.03,0.062222222,4.33,0.54
I03-1515,59.25,17.25,1708.00,26.00,2193.75,1950.00,243.75,1.90,3.795555556,0.03,0.057777778,4.33,0.54
I03-1530,59.50,17.50,2759.00,23.00,2193.75,1950.00,243.75,3.07,6.131111111,0.03,0.051111111,4.33,0.54
I03-1545,59.75,17.75,1292.00,22.00,2193.75,1950.00,243.75,1.44,2.871111111,0.02,0.048888889,4.33,0.54
I03-1600,60.00,18.00,1359.00,20.00,2193.75,1950.00,243.75,1.51,3.02,0.02,0.044444444,4.33,0.54
