Time,Feed (g),Sediment Out (g),feed (g/ms),out(g/ms)
0.25,4950,4273,11,9.495555556
0.50,4950,5292,11,11.76
0.75,4950,5634,11,12.52
1.00,4950,5082,11,11.29333333
1.25,4950.00,3286.00,11,7.302222222
1.50,4950.00,2776.00,11,6.168888889
1.75,4950.00,3225.00,11,7.166666667
2.00,4950.00,3314.00,11,7.364444444
2.25,4950.00,4531.00,11,10.06888889
2.50,4950.00,6478.00,11,14.39555556
2.75,4950.00,5689.00,11,12.64222222
3.00,4950.00,4833.00,11,10.74
3.25,4950.00,4524.00,11,10.05333333
3.50,4950.00,4082.00,11,9.071111111
3.75,4950.00,4646.00,11,10.32444444
4.00,4950.00,4988.00,11,11.08444444
4.25,4950.00,5535.00,11,12.3
4.50,4950.00,5721.00,11,12.71333333
4.75,4950.00,4883.00,11,10.85111111
5.00,4950.00,5607.00,11,12.46
5.25,4950.00,6723.00,11,14.94
5.50,4950.00,8006.00,11,17.79111111
5.75,4950.00,7004.00,11,15.56444444
6.00,4950.00,7071.00,11,15.71333333
6.25,4950.00,5048.00,11,11.21777778
6.50,4950.00,5317.00,11,11.81555556
6.75,4950.00,5631.00,11,12.51333333
7.00,4950.00,6220.00,11,13.82222222
7.25,4950.00,6206.00,11,13.79111111
7.50,4950.00,6232.00,11,13.84888889
7.75,4950.00,6402.00,11,14.22666667
8.00,4950.00,6140.00,11,13.64444444
8.25,4950.00,6481.00,11,14.40222222
8.50,4950.00,6617.00,11,14.70444444
8.75,4950.00,5206.00,11,11.56888889
9.00,4950.00,4862.00,11,10.80444444
9.25,4950.00,4261.00,11,9.468888889
9.50,4950.00,3377.00,11,7.504444444
9.75,4950.00,2887.00,11,6.415555556
10.00,4950.00,3010.00,11,6.688888889
10.25,4950.00,2607.00,11,5.793333333
10.50,4950.00,2757.00,11,6.126666667
10.75,4950.00,2917.00,11,6.482222222
11.00,4950.00,2647.00,11,5.882222222
11.25,4950.00,2786.00,11,6.191111111
11.50,4950.00,3060.00,11,6.8
11.75,4950.00,2545.00,11,5.655555556
12.00,4950.00,2168.00,11,4.817777778
12.25,4950.00,1907.00,11,4.237777778
12.50,4950.00,1918.00,11,4.262222222
12.75,4950.00,1998.00,11,4.44
13.00,4950.00,2618.00,11,5.817777778
13.25,4950.00,3244.00,11,7.208888889
13.50,4950.00,3142.00,11,6.982222222
13.75,4950.00,3207.00,11,7.126666667
14.00,4950.00,2953.00,11,6.562222222
14.25,4950.00,2849.00,11,6.331111111
14.50,4950.00,3045.00,11,6.766666667
14.75,4950.00,2677.00,11,5.948888889
15.00,4950.00,3041.00,11,6.757777778
15.25,4950.00,2507.00,11,5.571111111
15.50,4950.00,2984.00,11,6.631111111
15.75,4950.00,3187.00,11,7.082222222
16.00,4950.00,2635.00,11,5.855555556
16.25,4950.00,1751.00,11,3.891111111
16.50,4950.00,2820.00,11,6.266666667
16.75,4950.00,3510.00,11,7.8
17.00,4950.00,3250.00,11,7.222222222
17.25,4950.00,5280.00,11,11.73333333
17.50,4950.00,6795.00,11,15.1
17.75,4950.00,5315.00,11,11.81111111
18.00,4950.00,4802.00,11,10.67111111
18.25,4950.00,6129.00,11,13.62
18.50,4950.00,9664.00,11,21.47555556
18.75,4950.00,7407.00,11,16.46
19.00,4950.00,6947.00,11,15.43777778
19.25,4950.00,6295.00,11,13.98888889
19.50,4950.00,7247.00,11,16.10444444
19.75,4950.00,8400.00,11,18.66666667
20.00,4950.00,8365.00,11,18.58888889
20.25,4950.00,8769.00,11,19.48666667
20.50,4950.00,7133.00,11,15.85111111
20.75,4950.00,5533.00,11,12.29555556
21.00,4950.00,6902.00,11,15.33777778
21.25,4950.00,7393.00,11,16.42888889
21.50,4950.00,7249.00,11,16.10888889
21.75,4950.00,6812.00,11,15.13777778
22.00,4950.00,5969.00,11,13.26444444
22.25,4950.00,6229.00,11,13.84222222
22.50,4950.00,3919.00,11,8.708888889
22.75,4950.00,2307.00,11,5.126666667
23.00,4950.00,2988.00,11,6.64
23.25,4950.00,2623.00,11,5.828888889
23.50,4950.00,2189.00,11,4.864444444
23.75,4950.00,1873.00,11,4.162222222
24.00,4950.00,2374.00,11,5.275555556
24.25,4950.00,2427.00,11,5.393333333
24.50,4950.00,2393.00,11,5.317777778
24.75,4950.00,2047.00,11,4.548888889
25.00,4950.00,2361.00,11,5.246666667
